post_id,timestamp,text,category,sentiment,language,has_link,likes,comments,shares,is_spam
3863,2025-06-14 14:25:00,FLASH SALE: coffee maker at 50% off. Limited time! #Fitness,promotion,neutral,en,0,22,3,2,0
24,2023-03-15 01:10:00,Feature request: please add noise cancellation to coffee maker.,product_feedback,neutral,en,1,11,4,2,0
2634,2024-12-31 23:29:00,Report: data breach could affect small businesses.,news,neutral,en,0,98,22,23,0
3341,2024-06-26 20:37:00,Record broken: J. Smith sets new high for runs.,sports,positive,en,0,12,4,2,0
2216,2024-04-04 17:01:00,Tigers with an unbelievable win tonight! #Sports,sports,neutral,en,0,92,26,24,0
3683,2025-04-20 16:14:00,Weekend vibes at the Delhi! 😀,personal_update,neutral,en,0,41,8,4,0
4725,2023-01-16 11:30:00,Debate tonight on privacy law. What are your thoughts?,politics,neutral,hi,1,13,1,2,0
1908,2024-05-21 03:12:00,Friend: ‘We should work out.’ Us: 🔥,meme_joke,neutral,hi,0,125,47,6,0
85,2023-10-03 20:26:00,The laptop design is sleek but camera needs work.,product_feedback,negative,es,0,25,6,4,0
228,2025-02-14 21:28:00,Exclusive: coffee maker bundle for $149!,promotion,positive,en,1,41,7,9,0
297,2023-12-28 20:18:00,The Stark app keeps crashing after update.,customer_support,negative,en,0,0,0,0,0
1002,2023-02-04 19:00:00,Feeling happy today! 💖 #Sale,personal_update,neutral,en,1,5,1,0,0
2139,2023-08-23 02:45:00,FLASH SALE: laptop at 10% off. Limited time! #Sale,promotion,neutral,en,1,27,4,7,0
712,2025-04-09 09:54:00,Updating to say smartwatch performance improved after patch.,product_feedback,positive,en,0,4,0,0,0
2802,2025-04-20 15:17:00,Warriors with an unbelievable win tonight! #Sale,sports,positive,en,0,110,12,24,0
2528,2024-02-12 16:21:00,Transfer rumor: M. Khan to Lions?,sports,neutral,hi,1,27,8,6,0
3753,2025-02-03 20:44:00,Just had ramen with friends. So good! 💖,personal_update,positive,en,0,27,10,4,0
3322,2023-12-16 09:33:00,New drop: headphones! Grab yours today.,promotion,neutral,fr,1,11,1,1,0
3182,2024-07-30 03:41:00,Breaking: policy change just happened in Toronto. Details emerging. #News,news,negative,hi,1,46,16,3,0
4184,2023-10-18 01:32:00,Meetup at Berlin for community fair. RSVP below.,event,positive,de,1,39,12,11,0
1616,2025-07-12 22:27:00,This cat has more confidence than me 😴,meme_joke,positive,de,0,118,23,26,0
3025,2023-02-24 01:21:00,Matchday! Warriors vs Tigers at 2pm. Predictions?,sports,positive,en,0,96,24,20,0
1414,2024-12-09 23:01:00,Mental health matters. Take a break. 🔥,health_wellness,neutral,fr,0,42,9,10,0
764,2025-03-02 18:01:00,Transfer rumor: M. Khan to Royals?,sports,positive,en,0,55,7,7,0
656,2024-10-13 08:51:00,Join us at the tech summit this Tuesday! Tickets available now. #Health,event,negative,en,0,45,6,2,0
4798,2024-08-20 05:18:00,Me: I’ll sleep early. Also me at 3am: 😀,meme_joke,positive,es,1,44,13,3,0
3850,2024-12-14 21:24:00,Latest update on data breach: authorities confirm new info.,news,neutral,es,0,28,5,7,0
4154,2025-04-06 03:02:00,Debate tonight on privacy law. What are your thoughts?,politics,neutral,en,0,9,0,1,0
469,2025-07-11 23:21:00,Use code BUNDLE for free shipping on smartwatch.,promotion,negative,hi,0,17,4,3,0
158,2023-04-02 03:42:00,Report: concert announcement could affect small businesses.,news,positive,es,1,120,23,33,0
1296,2023-07-04 08:43:00,Lions with an unbelievable win tonight! #Event,sports,neutral,en,0,88,22,24,0
498,2023-10-30 23:10:00,Feeling tired today! 😀 #Breaking,personal_update,neutral,de,1,14,4,2,0
4741,2024-11-11 05:57:00,When you open the fridge and forget why you came: 💖 #relatable,meme_joke,positive,en,0,33,10,3,0
2941,2024-04-17 08:37:00,Record broken: M. Khan sets new high for goals.,sports,positive,es,0,69,20,16,0
3457,2024-01-19 12:11:00,Updating to say sneakers performance improved after patch.,product_feedback,positive,en,0,33,4,5,0
374,2024-10-11 03:38:00,Countdown to book club: only 8 days left!,event,positive,fr,1,14,2,1,0
80,2023-12-23 15:06:00,Public health update: market rally cases rising in New York.,health_wellness,positive,fr,0,63,21,11,0
1554,2024-10-04 19:43:00,Livestream starts at 6pm! Don’t miss the book club.,event,positive,en,1,118,35,22,0
1670,2024-06-14 08:15:00,In-depth: What weather alert means for London.,news,neutral,en,0,18,2,4,0
2132,2024-01-31 02:12:00,Countdown to community fair: only 14 days left!,event,positive,es,0,76,10,17,0
4440,2023-09-23 03:16:00,Just had pasta with friends. So good! 🥲,personal_update,positive,en,0,67,17,8,0
466,2023-05-14 13:03:00,Updating to say sneakers performance improved after patch.,product_feedback,neutral,en,0,31,6,3,0
249,2023-01-13 19:45:00,Weekend vibes at the Sydney! 🙌,personal_update,positive,en,1,47,12,3,0
932,2024-04-28 21:45:00,Lions with an unbelievable win tonight! #Fitness,sports,negative,de,1,25,8,1,0
1336,2023-10-19 19:50:00,Loving the new Umbrella headphones! Battery lasts all day.,product_feedback,neutral,en,1,4,1,0,0
4525,2023-10-07 07:36:00,Meetup at Mumbai for charity run. RSVP below.,event,positive,de,0,9,2,1,0
1339,2025-07-10 17:31:00,Photos from charity run are up—tag yourself!,event,positive,hi,0,71,14,14,0
1407,2023-11-20 04:51:00,Record broken: R. Patel sets new high for aces.,sports,neutral,en,0,33,5,8,0
1091,2024-08-05 03:49:00,Feature request: please add faster charging to smartwatch.,product_feedback,negative,de,0,32,6,3,0
4210,2024-07-02 21:12:00,"Refund request for defective coffee maker, DM sent.",customer_support,negative,en,0,15,2,1,0
743,2023-08-13 15:49:00,Report: weather alert could affect commuters.,news,positive,en,0,40,4,7,0
2324,2025-04-05 22:23:00,Missed my sister today. 🤔,personal_update,neutral,en,0,10,2,0,0
3602,2025-02-17 18:44:00,When you open the fridge and forget why you came: 😅 #relatable,meme_joke,neutral,en,0,134,23,33,0
2124,2025-01-01 00:25:00,Heads up: weather alert expected later this week.,news,neutral,en,1,31,6,6,0
2095,2025-04-20 15:05:00,New drop: coffee maker! Grab yours today.,promotion,neutral,hi,0,31,3,5,0
241,2023-04-28 03:34:00,"Hi Stark, my order #21094 hasn’t arrived. Please help.",customer_support,negative,en,0,16,3,1,0
2352,2023-06-04 20:17:00,Not impressed with Stark's smartwatch build quality.,product_feedback,positive,hi,0,16,4,1,0
1371,2023-02-07 20:47:00,Weekend vibes at the Mumbai! 🥲,personal_update,negative,en,0,34,4,5,0
1058,2025-03-30 02:11:00,Updating to say smartwatch performance improved after patch.,product_feedback,positive,es,0,41,5,4,0
4817,2025-03-04 20:40:00,Feeling grateful today! 🤷 #MondayMotivation,personal_update,positive,fr,1,54,16,6,0
200,2025-05-11 07:28:00,Having trouble logging into my Initech account—any fix?,customer_support,negative,hi,0,3,0,0,0
2281,2024-02-22 07:27:00,Just had biryani with friends. So good! 😂,personal_update,positive,de,1,56,17,4,0
4750,2024-04-22 00:42:00,The laptop design is sleek but camera needs work.,product_feedback,neutral,en,0,10,3,0,0
2221,2023-04-02 05:01:00,Weekend vibes at the Toronto! 😂,personal_update,neutral,en,0,51,12,4,0
4772,2023-01-30 20:18:00,Missed my mom today. 💖,personal_update,positive,en,0,18,1,2,0
2820,2023-12-08 07:52:00,Feature request: please add faster charging to laptop.,product_feedback,positive,en,1,36,7,9,0
3151,2025-06-19 23:26:00,Countdown to community fair: only 3 days left!,event,positive,de,0,120,13,34,0
4257,2025-04-24 05:36:00,"New day, new goals. #LOL 😀",personal_update,positive,fr,0,62,21,10,0
3108,2023-03-29 22:12:00,Tried low-carb for a week—here’s how I feel.,health_wellness,positive,en,0,43,12,9,0
1974,2024-04-03 07:15:00,Record broken: K. Garcia sets new high for aces.,sports,neutral,hi,0,94,34,17,0
1376,2023-05-27 23:45:00,Feature request: please add faster charging to headphones.,product_feedback,neutral,fr,0,20,2,2,0
3969,2023-09-01 05:30:00,Countdown to community fair: only 14 days left!,event,positive,fr,1,82,10,21,0
4063,2023-10-12 12:13:00,"Hi Globex, my order #22025 hasn’t arrived. Please help.",customer_support,neutral,es,0,13,2,2,0
4446,2024-05-05 20:21:00,Fact check: claims about education reform and taxes.,politics,neutral,en,0,78,22,11,0
3558,2024-05-22 01:22:00,Friend: ‘We should work out.’ Us: 😴,meme_joke,positive,de,1,140,38,33,0
965,2024-06-18 05:21:00,"Hi Stark, my order #53427 hasn’t arrived. Please help.",customer_support,negative,en,0,5,1,0,0
180,2025-03-08 08:29:00,Buy 1 get 1 on all coffee maker until Thursday.,promotion,neutral,de,0,36,14,10,0
3699,2024-03-11 04:17:00,Exclusive: headphones bundle for $260!,promotion,positive,en,0,18,6,1,0
3822,2024-12-08 07:57:00,POV: You at 8am meetings 💖💖,meme_joke,positive,en,0,129,16,28,0
4879,2023-12-07 06:38:00,Weekend vibes at the Delhi! 😀,personal_update,positive,hi,0,6,0,0,0
3900,2023-07-27 08:20:00,New drop: smartwatch! Grab yours today.,promotion,neutral,en,1,41,14,7,1
4488,2023-01-08 03:54:00,Missed my mom today. 😴,personal_update,negative,en,0,36,13,8,0
3239,2024-08-04 06:34:00,"New day, new goals. #Fitness 😅",personal_update,neutral,es,0,57,20,14,0
2975,2024-05-11 16:01:00,Friend: ‘We should work out.’ Us: 😅,meme_joke,neutral,en,1,141,28,11,0
3581,2024-04-24 17:11:00,Weekend vibes at the Delhi! 🤔,personal_update,negative,es,0,12,3,3,0
2888,2024-09-25 00:50:00,Missed my dad today. 😀,personal_update,negative,fr,0,19,3,2,0
2576,2024-06-19 12:22:00,Weekend vibes at the Berlin! 😀,personal_update,positive,de,1,51,14,14,0
1420,2025-05-09 06:12:00,Updating to say coffee maker performance improved after patch.,product_feedback,positive,en,0,4,1,0,0
3908,2023-07-14 00:47:00,Use code FREESHIP for free shipping on laptop.,promotion,neutral,fr,1,38,4,8,1
4674,2023-10-27 23:28:00,Missed my brother today. 🤔,personal_update,positive,fr,0,59,22,14,0
4903,2025-04-03 10:53:00,When you open the fridge and forget why you came: 😅 #relatable,meme_joke,positive,en,0,70,15,17,0
1861,2024-08-26 16:11:00,Loving the new Acme sneakers! Battery lasts all day.,product_feedback,negative,en,0,14,1,4,0
9,2023-03-12 07:23:00,Mental health matters. Take a break. 💪,health_wellness,positive,en,0,38,5,5,0
2895,2024-08-19 15:33:00,Updating to say smartwatch performance improved after patch.,product_feedback,neutral,en,1,37,4,4,0
2848,2023-08-12 19:24:00,Lions with an unbelievable win tonight! #Fitness,sports,neutral,en,0,74,21,20,0
3665,2024-05-05 13:53:00,Loving the new Acme smartwatch! Battery lasts all day.,product_feedback,negative,de,0,36,12,5,0
145,2023-02-25 00:49:00,"New day, new goals. #Fitness 🔥",personal_update,positive,es,1,13,4,2,0
2105,2024-12-15 18:01:00,In-depth: What data breach means for Sydney.,news,neutral,en,0,75,28,20,0
3144,2025-03-06 21:58:00,In-depth: What policy change means for Sydney.,news,neutral,en,0,79,8,4,0
842,2023-09-08 23:26:00,"New day, new goals. #Tech 🤷",personal_update,neutral,de,0,20,5,2,0
1129,2023-06-10 22:48:00,Starting a 30-day running challenge. Who’s in?,health_wellness,neutral,en,0,58,16,6,0
152,2025-04-18 12:12:00,Report: concert announcement could affect students.,news,neutral,de,1,102,12,29,0
3592,2023-10-09 15:19:00,Loving the new Umbrella sneakers! Battery lasts all day.,product_feedback,positive,en,1,25,3,6,0
1053,2025-07-30 09:45:00,Exclusive: sneakers bundle for $89!,promotion,neutral,de,1,7,1,1,0
1591,2023-02-01 20:37:00,Just had paneer tikka with friends. So good! 🙌,personal_update,neutral,en,0,43,11,3,0
3009,2023-02-08 09:40:00,Feeling happy today! 🔥 #Health,personal_update,positive,en,1,18,5,2,0
2030,2025-06-19 06:42:00,In-depth: What power outage means for Berlin.,news,neutral,en,1,13,2,1,0
3419,2024-10-12 19:02:00,FLASH SALE: smartwatch at 30% off. Limited time! #Tech,promotion,positive,fr,0,54,19,4,0
1808,2023-11-19 22:10:00,Having trouble logging into my Initech account—any fix?,customer_support,negative,en,0,9,3,0,0
2697,2023-09-11 09:17:00,Fact check: claims about tax policy and taxes.,politics,positive,en,0,67,9,18,0
3040,2023-06-22 12:09:00,Meetup at New York for tech summit. RSVP below.,event,positive,en,1,94,26,10,0
473,2023-08-29 09:42:00,In-depth: What weather alert means for London.,news,neutral,hi,0,114,25,28,0
3290,2024-06-04 05:15:00,Report: data breach could affect seniors.,news,positive,de,0,70,19,5,0
4075,2025-07-13 18:29:00,Breaking: data breach just happened in New York. Details emerging. #News,news,positive,es,1,34,7,10,0
3497,2025-04-18 16:02:00,Friend: ‘We should work out.’ Us: 🤔,meme_joke,positive,en,0,98,12,7,0
280,2024-10-29 03:48:00,Heads up: policy change expected later this week.,news,neutral,en,0,84,21,21,0
1742,2024-03-16 08:01:00,Loving the new Globex headphones! Battery lasts all day.,product_feedback,positive,de,0,54,14,3,0
4625,2025-05-30 11:42:00,Use code BUNDLE for free shipping on smartwatch.,promotion,neutral,en,0,23,5,1,1
2887,2024-05-08 08:15:00,Weekend vibes at the Toronto! 😀,personal_update,neutral,en,0,26,3,6,0
1942,2023-04-03 11:47:00,Tough loss for Warriors. Refs were wild.,sports,negative,en,0,62,13,10,0
101,2025-01-07 00:03:00,Feeling meh today! 😴 #Health,personal_update,positive,es,0,13,2,3,0
2805,2024-01-20 20:52:00,This cat has more confidence than me 🤔,meme_joke,positive,en,1,52,7,6,0
3571,2023-01-11 21:28:00,In-depth: What weather alert means for Berlin.,news,neutral,en,1,58,10,10,0
3685,2024-12-22 20:49:00,"New day, new goals. #Event 😂",personal_update,positive,en,1,38,6,9,0
3662,2024-09-24 10:17:00,Record broken: K. Garcia sets new high for goals.,sports,neutral,en,1,86,21,9,0
531,2025-06-02 01:35:00,Fact check: claims about healthcare and taxes.,politics,positive,en,0,50,10,12,0
1887,2025-01-05 06:04:00,Just had biryani with friends. So good! 😂,personal_update,negative,en,1,3,1,0,0
682,2023-08-20 10:18:00,New bill on healthcare passes in Toronto.,politics,negative,hi,0,9,1,2,0
3795,2024-07-20 06:55:00,Report: weather alert could affect small businesses.,news,positive,en,0,100,32,13,0
3945,2023-06-21 08:43:00,Transfer rumor: L. Chen to United?,sports,positive,hi,0,95,23,19,0
4667,2025-06-17 21:59:00,Reminder: drink water and stretch today! 🔥,health_wellness,positive,en,0,88,14,13,0
2019,2023-07-29 19:29:00,This cat has more confidence than me 😀,meme_joke,neutral,en,0,47,13,10,0
1097,2023-12-11 08:06:00,"Hi Umbrella, my order #56412 hasn’t arrived. Please help.",customer_support,positive,en,0,10,1,0,0
830,2025-04-01 07:04:00,Countdown to tech summit: only 7 days left!,event,positive,fr,1,96,15,26,0
2806,2025-05-18 12:31:00,Use code SAVE20 for free shipping on coffee maker.,promotion,positive,hi,1,42,9,11,0
3830,2025-05-07 11:26:00,The Globex app keeps crashing after update.,customer_support,negative,en,0,4,1,0,0
4382,2024-05-12 11:07:00,Feature request: please add offline sync to laptop.,product_feedback,negative,hi,0,0,0,0,0
3892,2023-05-27 23:04:00,Reminder: drink water and stretch today! 🔥,health_wellness,positive,en,0,38,14,5,0
765,2023-03-17 08:58:00,POV: You at 8am meetings 💪💪,meme_joke,negative,de,0,119,29,12,0
2768,2024-02-05 23:03:00,Feeling happy today! 🙌 #Event,personal_update,neutral,fr,0,53,7,15,0
4329,2025-07-30 17:05:00,Photos from tech summit are up—tag yourself!,event,negative,en,1,51,19,11,0
3296,2023-03-04 01:27:00,Missed my sister today. 💖,personal_update,neutral,de,0,55,11,13,0
2195,2024-09-28 02:07:00,Fact check: claims about climate action and taxes.,politics,negative,en,0,23,3,5,0
2358,2025-01-28 02:08:00,The headphones design is sleek but camera needs work.,product_feedback,negative,de,0,40,10,9,0
3426,2024-07-16 17:51:00,Me: I’ll sleep early. Also me at 3am: 😂,meme_joke,neutral,en,0,74,28,11,0
3980,2025-01-15 14:43:00,Breaking: weather alert just happened in Toronto. Details emerging. #MondayMotivation,news,negative,en,0,100,10,24,0
912,2024-09-26 15:44:00,"New day, new goals. #Event 🤷",personal_update,negative,en,0,29,9,2,0
3146,2025-05-29 13:33:00,Transfer rumor: M. Khan to Warriors?,sports,neutral,en,1,34,13,6,0
1000,2023-11-14 04:54:00,When you open the fridge and forget why you came: 🥲 #relatable,meme_joke,positive,fr,0,10,1,1,0
3654,2024-05-15 06:44:00,New drop: headphones! Grab yours today.,promotion,neutral,de,0,25,7,2,1
2484,2025-06-26 07:48:00,Not impressed with Acme's headphones build quality.,product_feedback,neutral,es,1,20,5,5,0
4077,2023-09-25 17:04:00,Debate tonight on healthcare. What are your thoughts?,politics,neutral,es,0,23,6,3,0
2371,2023-03-06 19:21:00,"Refund request for defective laptop, DM sent.",customer_support,negative,en,0,3,0,0,0
4839,2024-01-21 21:13:00,Use code DEAL50 for free shipping on coffee maker.,promotion,positive,de,1,5,0,0,0
34,2024-01-12 17:57:00,Feeling tired today! 🤔 #Breaking,personal_update,negative,hi,0,57,11,16,0
3790,2023-11-29 00:41:00,"New day, new goals. #Event 😀",personal_update,positive,en,0,57,20,7,0
1021,2023-08-14 00:40:00,"Refund request for defective headphones, DM sent.",customer_support,negative,en,0,2,0,0,0
1648,2023-12-22 14:03:00,Photos from community fair are up—tag yourself!,event,positive,en,0,32,7,4,0
734,2025-03-16 13:51:00,FLASH SALE: sneakers at 70% off. Limited time! #Fitness,promotion,positive,de,0,52,13,6,0
4583,2023-01-16 18:46:00,"New day, new goals. #MondayMotivation 🔥",personal_update,neutral,en,0,19,3,1,0
3275,2024-03-02 21:35:00,Weekend vibes at the New York! 💪,personal_update,positive,en,1,31,6,1,0
1621,2025-01-06 12:33:00,Just had ramen with friends. So good! 🔥,personal_update,positive,de,0,59,15,6,0
3136,2024-07-29 02:36:00,Exclusive: sneakers bundle for $107!,promotion,positive,hi,1,58,15,10,0
2690,2023-06-05 02:39:00,Debate tonight on education reform. What are your thoughts?,politics,neutral,fr,0,72,22,7,0
2708,2023-11-30 00:51:00,Countdown to book club: only 7 days left!,event,positive,en,0,99,39,20,0
298,2023-09-29 22:51:00,When you open the fridge and forget why you came: 🥲 #relatable,meme_joke,neutral,en,0,79,29,17,0
2340,2023-07-28 20:24:00,Having trouble logging into my Umbrella account—any fix?,customer_support,negative,hi,0,5,1,1,0
654,2024-09-18 00:00:00,The Acme app keeps crashing after update.,customer_support,negative,de,1,12,2,2,0
3775,2023-10-14 20:19:00,Feeling grateful today! 🤔 #MondayMotivation,personal_update,positive,de,0,20,5,3,0
1256,2023-01-15 18:32:00,Friend: ‘We should work out.’ Us: 😀,meme_joke,positive,en,0,124,20,21,0
4521,2025-04-24 20:22:00,Weekend vibes at the Mumbai! 🙌,personal_update,neutral,en,0,11,3,3,0
231,2024-06-03 07:37:00,Photos from community fair are up—tag yourself!,event,positive,hi,1,32,7,5,0
3277,2023-08-10 00:14:00,Buy 1 get 1 on all headphones until Saturday.,promotion,neutral,fr,0,20,6,4,1
3231,2024-12-25 11:52:00,POV: You at 8am meetings 🤔🤔,meme_joke,neutral,fr,0,90,35,14,0
692,2024-03-06 01:27:00,The laptop design is sleek but camera needs work.,product_feedback,neutral,en,0,26,6,4,0
2755,2025-03-28 20:36:00,Me: I’ll sleep early. Also me at 3am: 🤔,meme_joke,neutral,en,0,94,20,9,0
4864,2024-12-06 07:23:00,The headphones design is sleek but camera needs work.,product_feedback,negative,en,0,29,8,5,0
970,2025-05-10 18:43:00,Tried low-carb for a week—here’s how I feel.,health_wellness,positive,en,0,83,14,10,0
634,2023-02-21 03:32:00,Having trouble logging into my Acme account—any fix?,customer_support,negative,en,0,15,5,3,0
4093,2024-02-13 07:32:00,Thanks Globex support for resolving my issue fast!,customer_support,negative,en,0,1,0,0,0
4078,2025-06-16 03:04:00,Public health update: data breach cases rising in Berlin.,health_wellness,positive,de,0,21,8,1,0
1322,2023-01-01 17:18:00,Tried low-carb for a week—here’s how I feel.,health_wellness,positive,en,0,31,11,5,0
1832,2023-02-12 07:41:00,New drop: sneakers! Grab yours today.,promotion,neutral,es,0,24,8,4,0
2179,2023-11-24 10:26:00,Report: data breach could affect students.,news,neutral,en,1,72,9,11,0
1418,2025-03-20 12:03:00,Photos from charity run are up—tag yourself!,event,negative,es,1,66,8,9,0
1783,2024-05-01 05:31:00,Record broken: A. Singh sets new high for aces.,sports,negative,hi,0,6,0,1,0
4716,2025-05-22 07:16:00,POV: You at 8am meetings 😴😴,meme_joke,positive,en,0,115,19,11,0
4702,2025-05-13 03:15:00,Buy 1 get 1 on all laptop until Monday.,promotion,neutral,hi,1,16,5,4,0
4119,2024-05-01 17:44:00,Reminder: drink water and stretch today! 😅,health_wellness,neutral,fr,0,26,8,7,0
1653,2023-01-15 19:39:00,"New day, new goals. #Health 😂",personal_update,positive,de,0,7,2,1,0
1484,2024-05-04 15:24:00,FLASH SALE: sneakers at 30% off. Limited time! #LOL,promotion,neutral,hi,1,43,14,8,1
